resolution_id,resolution_type
1,Additional Monies Received
2,Additional Monies Received; Additional Payment Expected
3,Additional Monies Received; Additional Payment Expected; Appraisal Process Invoked
4,Additional Monies Received; Additional Payment Expected; Claim Settled
5,Additional Monies Received; Additional Payment Expected; Company Position Upheld
6,Additional Monies Received; Additional Payment Expected; Complainant Retained Attorney
7,Additional Monies Received; Additional Payment Expected; Contract Language/Legal Issue
8,Additional Monies Received; Additional Payment Expected; Corrective Action Taken
9,Additional Monies Received; Additional Payment Expected; Failure to Timely Respond
10,Additional Monies Received; Additional Payment Expected; Information Furnished
11,Additional Monies Received; Additional Payment Expected; Insufficient Information
12,Additional Monies Received; Additional Payment Expected; Mediation Billed Amount
13,Additional Monies Received; Additional Payment Expected; No Jurisdiction
14,Additional Monies Received; Additional Payment Expected; Premium Refunded
15,Additional Monies Received; Additional Payment Expected; Question of Fact
16,Additional Monies Received; Additional Payment Expected; Referred for Disciplinary Actn
17,Additional Monies Received; Additional Payment Expected; Stat Pen Pd-Over 90 Dys Late
18,Additional Monies Received; Agent 1st warning; Agent Resp Recvd
19,Additional Monies Received; Appraisal Process Invoked
20,Additional Monies Received; Appraisal Process Invoked; Additional Payment Expected
21,Additional Monies Received; Appraisal Process Invoked; Claim Settled
22,Additional Monies Received; Appraisal Process Invoked; Complainant Retained Attorney
23,Additional Monies Received; Appraisal Process Invoked; Contract Language/Legal Issue
24,Additional Monies Received; Appraisal Process Invoked; Corrective Action Taken
25,Additional Monies Received; Appraisal Process Invoked; Information Furnished
26,Additional Monies Received; Appraisal Process Invoked; No Jurisdiction
27,Additional Monies Received; Appraisal Process Invoked; Question of Fact
28,Additional Monies Received; Appraisal Process Invoked; Referred for Disciplinary Actn
29,Additional Monies Received; Cancel/Non-Renewal Upheld; Contract Language/Legal Issue
30,Additional Monies Received; Cancel/Non-Renewal Upheld; Information Furnished
31,Additional Monies Received; Cancel/Non-Renewal Upheld; Premium Refunded
32,Additional Monies Received; Cancellation Withdrawn
33,Additional Monies Received; Cancellation Withdrawn; Claim Settled
34,Additional Monies Received; Cancellation Withdrawn; Corrective Action Taken
35,Additional Monies Received; Cash Surrender Paid
36,Additional Monies Received; Cash Surrender Paid; Contract Language/Legal Issue
37,Additional Monies Received; Cash Surrender Paid; Information Furnished
38,Additional Monies Received; Cash Surrender Paid; Premium Refunded
39,Additional Monies Received; Claim Not Clean
40,Additional Monies Received; Claim Not Clean; Claim Settled
41,Additional Monies Received; Claim Not Clean; Contract Language/Legal Issue
42,Additional Monies Received; Claim Not Clean; Corrective Action Taken
43,Additional Monies Received; Claim Not Clean; Information Furnished
44,Additional Monies Received; Claim Settled
45,Additional Monies Received; Claim Settled; Additional Payment Expected
46,Additional Monies Received; Claim Settled; Appraisal Process Invoked
47,Additional Monies Received; Claim Settled; Cancel/Non-Renewal Upheld
48,Additional Monies Received; Claim Settled; Claim Not Clean
49,Additional Monies Received; Claim Settled; Clean Claims Violation
50,Additional Monies Received; Claim Settled; Company Position Upheld
51,Additional Monies Received; Claim Settled; Complainant Retained Attorney
52,Additional Monies Received; Claim Settled; Complaint Withdrawn
53,Additional Monies Received; Claim Settled; Consumer Withdraw
54,Additional Monies Received; Claim Settled; Contract Language/Legal Issue
55,Additional Monies Received; Claim Settled; Corrective Action Taken
56,Additional Monies Received; Claim Settled; Failure to Timely Respond
57,Additional Monies Received; Claim Settled; Information Furnished
58,Additional Monies Received; Claim Settled; Insufficient Information
59,Additional Monies Received; Claim Settled; Mediation Billed Amount
60,Additional Monies Received; Claim Settled; Mediation Not Eligible
61,Additional Monies Received; Claim Settled; No Jurisdiction
62,Additional Monies Received; Claim Settled; Other
63,Additional Monies Received; Claim Settled; Policy Issued/Restored
64,Additional Monies Received; Claim Settled; Premium Refunded
65,Additional Monies Received; Claim Settled; Question of Fact
66,Additional Monies Received; Claim Settled; Referred for Disciplinary Actn
67,Additional Monies Received; Claim Settled; Referred To
68,Additional Monies Received; Claim Settled; Stat Pen Pd-46 To 90 Dys Late
69,Additional Monies Received; Claim Settled; Stat Pen Pd-Over 90 Dys Late
70,Additional Monies Received; Claim Settled; Stat Pen Pd-Up To 45 Dys Late
71,Additional Monies Received; Clean Claims Violation
72,Additional Monies Received; Clean Claims Violation; Additional Payment Expected
73,Additional Monies Received; Clean Claims Violation; Claim Settled
74,Additional Monies Received; Clean Claims Violation; Contract Language/Legal Issue
75,Additional Monies Received; Clean Claims Violation; Information Furnished
76,Additional Monies Received; Clean Claims Violation; Question of Fact
